Module,GO term,GO process,FDR
green,GO:0097659,nucleic acid-templated transcription,1.0440759319686986e-15
green,GO:0030030,cell projection organization,1.1624615271535785e-15
green,GO:0032774,RNA biosynthetic process,1.2418593535888986e-15
green,GO:2000026,regulation of multicellular organismal development,1.353333438387808e-15
green,GO:1903506,regulation of nucleic acid-templated transcription,1.7462853259627725e-15
green,GO:2001141,regulation of RNA biosynthetic process,1.867192261529091e-15
green,GO:0006351,"transcription, DNA-templated",1.932646866797364e-15
green,GO:0006355,"regulation of transcription, DNA-templated",2.7148557551302777e-15
green,GO:0030182,neuron differentiation,3.4099855839898936e-15
green,GO:0036094,small molecule binding,7.129179932528051e-15
green,GO:0030425,dendrite,7.804883091606216e-15
green,GO:0097447,dendritic tree,8.466756038110687e-15
green,GO:1902531,regulation of intracellular signal transduction,1.1071818046319736e-14
green,GO:0140096,"catalytic activity, acting on a protein",3.268784177475798e-14
green,GO:1901575,organic substance catabolic process,3.746624996061113e-14
green,GO:0007049,cell cycle,4.372829126359479e-14
green,GO:0006508,proteolysis,4.533814517818431e-14
green,GO:0046907,intracellular transport,1.754297051328595e-13
green,GO:0051241,negative regulation of multicellular organismal process,1.8463205560863194e-13
green,GO:0044093,positive regulation of molecular function,1.8463205560863194e-13
green,GO:0008283,cell population proliferation,2.25639628818425e-13
green,GO:0031324,negative regulation of cellular metabolic process,2.827527623054839e-13
green,GO:0097367,carbohydrate derivative binding,3.441160819277542e-13
green,GO:0031329,regulation of cellular catabolic process,5.7885868339028315e-13
green,GO:0010647,positive regulation of cell communication,6.0882532187441e-13
green,GO:0023056,positive regulation of signaling,6.904945106318569e-13
green,GO:0048585,negative regulation of response to stimulus,8.727376205922119e-13
green,GO:0051172,negative regulation of nitrogen compound metabolic process,8.978655239873907e-13
green,GO:0010629,negative regulation of gene expression,9.256294452755366e-13
green,GO:0006366,transcription by RNA polymerase II,9.595497741535268e-13
green,GO:0016192,vesicle-mediated transport,1.1057673442790997e-12
green,GO:0009894,regulation of catabolic process,1.228240901252765e-12
green,GO:0044297,cell body,1.495496821032738e-12
green,GO:0006357,regulation of transcription by RNA polymerase II,1.9203784744998747e-12
green,GO:0070887,cellular response to chemical stimulus,1.987405444325815e-12
green,GO:0051336,regulation of hydrolase activity,2.4659063819080336e-12
green,GO:0016071,mRNA metabolic process,2.6668613539337275e-12
green,GO:0098590,plasma membrane region,2.956333842762041e-12
green,GO:0009653,anatomical structure morphogenesis,3.8493463627415556e-12
green,GO:0007267,cell-cell signaling,4.015216900574762e-12
green,GO:0003723,RNA binding,4.664866117432752e-12
green,GO:0000166,nucleotide binding,5.017941285901222e-12
green,GO:1901265,nucleoside phosphate binding,5.082914749572477e-12
green,GO:0009057,macromolecule catabolic process,5.219123168800131e-12
green,GO:0051247,positive regulation of protein metabolic process,5.270706798204502e-12
green,GO:0006928,movement of cell or subcellular component,5.545432092728531e-12
green,GO:0045595,regulation of cell differentiation,5.616649171251851e-12
green,GO:0033043,regulation of organelle organization,6.583036276576794e-12
green,GO:0043025,neuronal cell body,6.8263753305039624e-12
green,GO:0060341,regulation of cellular localization,8.611961176468121e-12
green,GO:0034613,cellular protein localization,9.407915633361496e-12
green,GO:0070727,cellular macromolecule localization,1.1174205637603626e-11
green,GO:0009891,positive regulation of biosynthetic process,1.2770990687856544e-11
green,GO:0009967,positive regulation of signal transduction,1.4428739058759364e-11
green,GO:0014069,postsynaptic density,1.7720089498398748e-11
green,GO:0051276,chromosome organization,1.8035363259338944e-11
green,GO:0044265,cellular macromolecule catabolic process,2.112150676099007e-11
green,GO:0032279,asymmetric synapse,2.1812098835896068e-11
green,GO:0045202,synapse,2.4707823010489198e-11
green,GO:0016310,phosphorylation,2.9277336119617446e-11
green,GO:0017076,purine nucleotide binding,2.934754061017953e-11
green,GO:0031328,positive regulation of cellular biosynthetic process,2.956325126052828e-11
green,GO:0097060,synaptic membrane,3.271244501580407e-11
green,GO:0005739,mitochondrion,3.6054115020599865e-11
green,GO:0048584,positive regulation of response to stimulus,3.956865168581021e-11
green,GO:0010628,positive regulation of gene expression,5.349030686788938e-11
green,GO:0005856,cytoskeleton,5.466181330777961e-11
green,GO:0099572,postsynaptic specialization,5.891921316143804e-11
green,GO:0098984,neuron to neuron synapse,6.497452519086323e-11
green,GO:0032270,positive regulation of cellular protein metabolic process,6.792013973640951e-11
green,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,7.671735702484148e-11
green,GO:0031399,regulation of protein modification process,7.910727417656902e-11
green,GO:0042127,regulation of cell population proliferation,8.056606562161355e-11
green,GO:0043436,oxoacid metabolic process,8.514351755289483e-11
green,GO:0031410,cytoplasmic vesicle,8.575990509979094e-11
green,GO:0010648,negative regulation of cell communication,8.578111982130261e-11
green,GO:0097708,intracellular vesicle,8.879583673907614e-11
green,GO:0023057,negative regulation of signaling,9.189752872000677e-11
green,GO:0032555,purine ribonucleotide binding,9.21998122004299e-11
green,GO:0080134,regulation of response to stress,9.49551253160051e-11
green,GO:0006811,ion transport,1.0161762430025191e-10
green,GO:0032553,ribonucleotide binding,1.1830423598825754e-10
green,GO:0050767,regulation of neurogenesis,1.1910793130744956e-10
green,GO:0008144,drug binding,1.2329620508590617e-10
green,GO:0035639,purine ribonucleoside triphosphate binding,1.2646637034270942e-10
green,GO:0006082,organic acid metabolic process,1.2699745510816952e-10
green,GO:0009605,response to external stimulus,1.2958000979356643e-10
green,GO:0006886,intracellular protein transport,1.4083788612050345e-10
green,GO:0043933,protein-containing complex subunit organization,1.4083788612050345e-10
green,GO:0051130,positive regulation of cellular component organization,1.4335768398216207e-10
green,GO:0048666,neuron development,1.518299400240276e-10
green,GO:0043085,positive regulation of catalytic activity,1.7018424718653089e-10
green,GO:0019901,protein kinase binding,2.016094459924079e-10
green,GO:0055085,transmembrane transport,2.1516194624414723e-10
green,GO:0071310,cellular response to organic substance,2.1954912696286804e-10
green,GO:1901566,organonitrogen compound biosynthetic process,2.760791078285374e-10
green,GO:0019752,carboxylic acid metabolic process,2.8756176815789764e-10
green,GO:0019900,kinase binding,3.294472577609416e-10
green,GO:0051960,regulation of nervous system development,3.294472577609416e-10
green,GO:0043603,cellular amide metabolic process,3.294472577609416e-10
green,GO:0051254,positive regulation of RNA metabolic process,3.358928498485649e-10
green,GO:0140110,transcription regulator activity,3.358928498485649e-10
green,GO:0010557,positive regulation of macromolecule biosynthetic process,3.4950505635315303e-10
green,GO:0098794,postsynapse,3.608475810963295e-10
green,GO:0098588,bounding membrane of organelle,4.0455440028321436e-10
green,GO:0006468,protein phosphorylation,4.707277841792744e-10
green,GO:0006915,apoptotic process,5.075824045769285e-10
green,GO:0006979,response to oxidative stress,5.378364447129249e-10
green,GO:0008219,cell death,5.493803356253532e-10
green,GO:0032880,regulation of protein localization,5.561845100740125e-10
green,GO:0060284,regulation of cell development,5.592469321577814e-10
green,GO:0030234,enzyme regulator activity,6.609002056268704e-10
green,GO:0016740,transferase activity,7.381447388223873e-10
green,GO:0048878,chemical homeostasis,7.89036808506884e-10
green,GO:0099080,supramolecular complex,8.042136152258473e-10
green,GO:0031175,neuron projection development,9.974309617807777e-10
green,GO:0048471,perinuclear region of cytoplasm,1.144858255740582e-9
green,GO:1901565,organonitrogen compound catabolic process,1.4223725904681018e-9
green,GO:0045664,regulation of neuron differentiation,1.4669548028406396e-9
green,GO:0030554,adenyl nucleotide binding,1.4877730802190089e-9
green,GO:0007417,central nervous system development,1.915159259221099e-9
green,GO:0065003,protein-containing complex assembly,1.9687313729715953e-9
green,GO:0009968,negative regulation of signal transduction,1.9739283514178818e-9
green,GO:0030424,axon,2.077252987926971e-9
green,GO:0006325,chromatin organization,2.095594815301445e-9
green,GO:0006812,cation transport,2.5116410404129868e-9
green,GO:2000113,negative regulation of cellular macromolecule biosynthetic process,2.605991305409157e-9
green,GO:0046983,protein dimerization activity,2.701484386909957e-9
green,GO:0010558,negative regulation of macromolecule biosynthetic process,2.794963345828237e-9
green,GO:0080135,regulation of cellular response to stress,2.934312595973645e-9
green,GO:0012501,programmed cell death,3.984193367683224e-9
green,GO:1902494,catalytic complex,4.0938435922342836e-9
green,GO:0045944,positive regulation of transcription by RNA polymerase II,4.668480793262928e-9
green,GO:0062197,cellular response to chemical stress,4.9169879649959124e-09
green,GO:0032559,adenyl ribonucleotide binding,4.9733460647689736e-9
green,GO:0034599,cellular response to oxidative stress,5.112417110426698e-9
green,GO:0009888,tissue development,5.389498627330341e-9
green,GO:0019220,regulation of phosphate metabolic process,6.6953297682390395e-9
green,GO:0098772,molecular function regulator,6.6953297682390395e-9
green,GO:0051174,regulation of phosphorus metabolic process,6.87000569841133e-9
green,GO:0031327,negative regulation of cellular biosynthetic process,7.077596241978374e-9
green,GO:0005524,ATP binding,7.565656900077723e-9
green,GO:0022402,cell cycle process,8.113233033727908e-9
green,GO:0010941,regulation of cell death,8.357931937920897e-9
green,GO:0042803,protein homodimerization activity,8.597750771495879e-9
green,GO:0031401,positive regulation of protein modification process,8.82620363963307e-9
green,GO:0006629,lipid metabolic process,1.0108012969174495e-8
green,GO:0016311,dephosphorylation,1.0208859841706924e-8
green,GO:0009890,negative regulation of biosynthetic process,1.0208859841706924e-8
green,GO:0051223,regulation of protein transport,1.0973833986356494e-8
green,GO:0006873,cellular ion homeostasis,1.1586292971723275e-8
green,GO:0003008,system process,1.2211690901254354e-8
green,GO:0043604,amide biosynthetic process,1.2607105658776674e-8
green,GO:0045211,postsynaptic membrane,1.291514199610056e-8
green,GO:1901700,response to oxygen-containing compound,1.3302433530345284e-8
green,GO:0005215,transporter activity,1.3942696414938373e-8
green,GO:0098771,inorganic ion homeostasis,1.4634450065135102e-8
green,GO:0050801,ion homeostasis,1.4931073881386923e-8
green,GO:0034220,ion transmembrane transport,1.4931073881386923e-8
green,GO:0042391,regulation of membrane potential,1.5596370268421712e-8
green,GO:0043565,sequence-specific DNA binding,1.655934232655036e-8
green,GO:0050804,modulation of chemical synaptic transmission,1.6713065190521622e-8
green,GO:0099177,regulation of trans-synaptic signaling,1.7298632612865504e-8
green,GO:0030001,metal ion transport,1.8570077745384413e-8
green,GO:1903508,positive regulation of nucleic acid-templated transcription,1.9361773212601093e-8
green,GO:0045893,"positive regulation of transcription, DNA-templated",1.946479706840245e-8
green,GO:1902680,positive regulation of RNA biosynthetic process,1.958160510929615e-8
green,GO:0070201,regulation of establishment of protein localization,1.9962448711791214e-8
green,GO:0005576,extracellular region,2.0053380232364857e-8
green,GO:0019725,cellular homeostasis,2.0194522201572103e-8
green,GO:0008092,cytoskeletal protein binding,2.2412821767016017e-8
green,GO:0090087,regulation of peptide transport,2.2416256748667973e-8
green,GO:0051726,regulation of cell cycle,2.330605470889729e-8
green,GO:0031625,ubiquitin protein ligase binding,2.5702518090820713e-8
green,GO:0005694,chromosome,3.400723725431554e-8
green,GO:0046903,secretion,3.6106237808410057e-8
green,GO:0009628,response to abiotic stimulus,3.6533674374397824e-8
green,GO:0098805,whole membrane,3.864883617259824e-8
green,GO:0051129,negative regulation of cellular component organization,3.888946383906583e-8
green,GO:0010564,regulation of cell cycle process,4.31550419030421e-8
green,GO:0042981,regulation of apoptotic process,4.358863781101938e-8
green,GO:0030003,cellular cation homeostasis,4.4941008455297184e-8
green,GO:0003677,DNA binding,4.618137352786258e-8
green,GO:0000278,mitotic cell cycle,4.827211114120801e-8
green,GO:0002376,immune system process,5.0896256283992634e-8
green,GO:0033365,protein localization to organelle,5.0896256283992634e-8
green,GO:0044389,ubiquitin-like protein ligase binding,5.51860904112258e-8
green,GO:0055080,cation homeostasis,5.751177431236034e-8
green,GO:0003700,DNA-binding transcription factor activity,6.051807054897071e-8
green,GO:0043067,regulation of programmed cell death,6.427340670786553e-8
green,GO:0120035,regulation of plasma membrane bounded cell projection organization,7.061175085992393e-8
green,GO:0051093,negative regulation of developmental process,8.53278706265802e-8
green,GO:0031344,regulation of cell projection organization,9.062930808265467e-8
green,GO:0005794,Golgi apparatus,1.0725429523367654e-7
green,GO:0051050,positive regulation of transport,1.0885148175946565e-7
green,GO:0010638,positive regulation of organelle organization,1.0885148175946565e-7
green,GO:0010975,regulation of neuron projection development,1.2442422700009196e-7
green,GO:0060249,anatomical structure homeostasis,1.2442422700009196e-7
green,GO:0042327,positive regulation of phosphorylation,1.2872829018534307e-7
green,GO:0044877,protein-containing complex binding,1.3562271704954293e-7
green,GO:0040011,locomotion,1.385607121900114e-7
green,GO:0022603,regulation of anatomical structure morphogenesis,1.4510405736719095e-7
green,GO:0060322,head development,1.5861675309240862e-7
green,GO:0030163,protein catabolic process,1.8308819427014818e-7
green,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.8928486092133506e-7
green,GO:0008324,cation transmembrane transporter activity,1.9393659493501024e-7
green,GO:0016570,histone modification,1.9874768389251588e-7
