"","geneIDs","moduleColor"
"303","NXPH4","greenyellow"
"304","OGFOD2","greenyellow"
"306","OSBPL3","greenyellow"
"307","OTOL1","greenyellow"
"308","OVOL1","greenyellow"
"309","PACSIN3","greenyellow"
"310","PAK6","greenyellow"
"311","PBRM1","greenyellow"
"312","PCCB","greenyellow"
"313","PCGF6","greenyellow"
"314","PCNXL3","greenyellow"
"315","PDCD11","greenyellow"
"316","PDE4B","greenyellow"
"317","PGM3","greenyellow"
"318","PHF5A","greenyellow"
"319","PHF7","greenyellow"
"320","PITPNM2","greenyellow"
"321","PLA2G15","greenyellow"
"322","PLCB2","greenyellow"
"324","PLCL2","greenyellow"
"325","PLEKHO1","greenyellow"
"326","PMM1","greenyellow"
"327","PPAPDC1B","greenyellow"
"328","PPM1M","greenyellow"
"329","PPP1CC","greenyellow"
"330","PPP1R13B","greenyellow"
"331","PPP1R3B","greenyellow"
"332","PPP2R2A","greenyellow"
"333","PPP2R3A","greenyellow"
"334","PPP4C","greenyellow"
"335","PPTC7","greenyellow"
"336","PRKCD","greenyellow"
"337","PRKD1","greenyellow"
"338","PRMT1","greenyellow"
"339","PRMT7","greenyellow"
"340","PRPF3","greenyellow"
"341","PRSS35","greenyellow"
"342","PSD3","greenyellow"
"343","PSMA4","greenyellow"
"344","PSMB10","greenyellow"
"345","PSMD6","greenyellow"
"346","PTK2B","greenyellow"
"347","PTN","greenyellow"
"349","PTPRK","greenyellow"
"350","R3HDM2","greenyellow"
"351","RABGAP1L","greenyellow"
"353","RAI1","greenyellow"
"354","RANGAP1","greenyellow"
"356","RBM26","greenyellow"
"357","RBX1","greenyellow"
"358","RC3H1","greenyellow"
"359","RDH16","greenyellow"
"360","REEP2","greenyellow"
"361","RELA","greenyellow"
"362","RERE","greenyellow"
"363","RFT1","greenyellow"
"364","RFTN2","greenyellow"
"366","RILPL2","greenyellow"
"367","RIMS1","greenyellow"
"368","RNF112","greenyellow"
"369","RPRD2","greenyellow"
"370","RPS19BP1","greenyellow"
"371","RPTOR","greenyellow"
"372","RRAS","greenyellow"
"373","RTN1","greenyellow"
"374","RUNDC3B","greenyellow"
"377","SBNO1","greenyellow"
"379","SDCCAG8","greenyellow"
"380","SEC11A","greenyellow"
"381","SEMA3G","greenyellow"
"383","SEMA6D","greenyellow"
"384","SEPT3","greenyellow"
"386","SERPING1","greenyellow"
"387","SETD6","greenyellow"
"388","SETD8","greenyellow"
"389","SETDB1","greenyellow"
"390","SF3B1","greenyellow"
"391","SFMBT1","greenyellow"
"392","SFXN2","greenyellow"
"393","SHMT2","greenyellow"
"394","SIPA1","greenyellow"
"395","SLC12A4","greenyellow"
"396","SLC25A17","greenyellow"
"397","SLC32A1","greenyellow"
"398","SLC38A7","greenyellow"
"399","SLC39A8","greenyellow"
"400","SLC45A1","greenyellow"
"401","SLC5A10","greenyellow"
"402","SLC6A11","greenyellow"
"403","SLC6A9","greenyellow"
"404","SLC7A6","greenyellow"
"405","SLC7A6OS","greenyellow"
"406","SMG6","greenyellow"
"407","SMPD3","greenyellow"
"408","SNAP91","greenyellow"
"409","SNX19","greenyellow"
"411","SPATS2L","greenyellow"
"412","SPCS1","greenyellow"
"413","SREBF1","greenyellow"
"414","SREBF2","greenyellow"
"416","SRR","greenyellow"
"417","ST13","greenyellow"
"418","ST3GAL3","greenyellow"
"419","STAB1","greenyellow"
"420","STAC3","greenyellow"
"421","STAG1","greenyellow"
"422","STAMBP","greenyellow"
"423","STAT6","greenyellow"
"424","SUFU","greenyellow"
"426","SZT2","greenyellow"
"427","TAC3","greenyellow"
"428","TAF5","greenyellow"
"429","TAOK2","greenyellow"
"430","TARS2","greenyellow"
"431","TBC1D2","greenyellow"
"432","TBC1D5","greenyellow"
"433","TBX6","greenyellow"
"434","TCF20","greenyellow"
"435","TCF4","greenyellow"
"436","TCHP","greenyellow"
"437","TCTN1","greenyellow"
"438","TDRD9","greenyellow"
"439","TEF","greenyellow"
"440","THAP11","greenyellow"
"441","THOC7","greenyellow"
"442","TKT","greenyellow"
"444","TM6SF2","greenyellow"
"445","TMEM110","greenyellow"
"446","TMEM110-MUSTN1","greenyellow"
"447","TMEM161B","greenyellow"
"448","TMEM180","greenyellow"
"449","TMEM194A","greenyellow"
"450","TMEM219","greenyellow"
"451","TMX2","greenyellow"
"452","TMX2-CTNND1","greenyellow"
"453","TNFRSF13C","greenyellow"
"454","TNKS","greenyellow"
"455","TNNC1","greenyellow"
"456","TOB2","greenyellow"
"457","TOM1L2","greenyellow"
"458","TPRKB","greenyellow"
"460","TRIM8","greenyellow"
"462","TRPV4","greenyellow"
"464","TSNAXIP1","greenyellow"
"466","TYW5","greenyellow"
"467","USMG5","greenyellow"
"468","VPS29","greenyellow"
"469","VPS37B","greenyellow"
"470","VPS45","greenyellow"
"471","VRK2","greenyellow"
"472","VSIG2","greenyellow"
"473","WBP2NL","greenyellow"
"474","WDR73","greenyellow"
"475","WDR82","greenyellow"
"476","WHAMM","greenyellow"
"477","WHSC1L1","greenyellow"
"478","XPNPEP3","greenyellow"
"479","XRCC3","greenyellow"
"480","XRCC6","greenyellow"
"482","YPEL4","greenyellow"
"483","ZBTB37","greenyellow"
"484","ZC3H7B","greenyellow"
"485","ZDHHC5","greenyellow"
"487","ZFYVE21","greenyellow"
"488","ZNF19","greenyellow"
"489","ZNF23","greenyellow"
"490","ZNF281","greenyellow"
"491","ZNF408","greenyellow"
"492","ZNF440","greenyellow"
"493","ZNF441","greenyellow"
"494","ZNF491","greenyellow"
"495","ZNF536","greenyellow"
"496","ZNF592","greenyellow"
"497","ZNF804A","greenyellow"
"498","ZNF823","greenyellow"
"499","ZSCAN2","greenyellow"
